,filename,link
25,1020.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13769394/2021/10/22/0510bbdc-fc3a-4482-b03a-5d9fb3f717541634898634882-Ahalyaa-Women-Burgundy--Golden-Printed-Kurta-with-Trousers-8-1.jpg"
26,1021.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10808272/2019/10/30/5a8714bc-bef0-4f18-9fe6-ca27b5be69c61572436729830-AHIKA-Women-Kurtas-241572436727174-1.jpg"
27,1022.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13791588/2022/2/14/d6ae5918-66ba-409a-86b8-7a4c0a1c24b91644817742071-Anouk-Women-Navy-Blue-Embroidered-Kurta-with-Palazzos-842164-1.jpg"
28,1023.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15598662/2021/9/30/6836b2c3-6e39-45cd-b34d-86b6341a43e01632979427008-Yuris-Womens-Blue---White-Printed-Kurta-With-Trouser--Dupatt-1.jpg"
29,1024.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14602202/2021/8/23/0993c214-4caf-44fd-bded-be86ab593c571629701064383-Libas-Women-Blue--Grey-Printed-Pure-Cotton-A-line-Kurta-with-1.jpg"
30,1025.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/8/20/ef06dc09-c1f6-43a5-8c54-a0e85a47c10b1597876200592-1.jpg"
31,1026.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15003602/2021/8/5/b617ea13-c8be-4c2d-b295-3dcfe941cece1628187918692JAIPURIBUNAAIWomenTealPrintedKurtawithTrousersWithDupatta1.jpg"
32,1027.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2440697/2018/2/6/11517899041512-Libas-Women-Kurtas-7161517899041331-1.jpg"
33,1028.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16331314/2021/12/2/daf4c09e-d35d-4961-a153-e3bb0eb5d9191638428903270KurtaSets1.jpg"
34,1029.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/5571465/2018/5/15/2ac3672a-d16d-4aec-b853-30a3f50708021526387316249-Jaipur-Kurti-Women-Turquoise-Blue--Green-Printed-Straight-Kurta-5621526387316032-1.jpg"
35,103.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11519290/2020/2/25/19cf3192-3ca7-46a4-88e6-e5ae137995c01582624360192-See-Designs-Women-Blue--White-Printed-Straight-Kurta-1011582-1.jpg"
36,1030.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9252955/2019/4/17/5b8d2dd5-24b5-4b25-9f0d-06b1078451ae1555483092177-anayna-Women-Green--White-Printed-Straight-Kurta-25115554830-1.jpg"
37,1031.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17241820/2022/2/22/6826eb82-a889-4550-9729-7c638a6d82241645516346563KALINIWomenWhiteDyedFlaredSleevesQuirkyAnarkaliKurta1.jpg"
38,1032.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12541372/2020/11/6/da18ab22-79a1-46f0-a0cf-58c313fe98881604665115144VarangaWomenMauveZariYokeDesignChanderiSilkKurtawithTrousers1.jpg"
39,1033.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14224108/2021/7/30/5f6db19d-58ae-45f5-9ff1-fc4d19c43b251627640498536-Anouk-Women-Kurta-Sets-401627640497852-1.jpg"
40,1034.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17231878/2022/2/21/26b1b680-a028-4ede-ab4d-6cf2a56e72c01645437152021SochWomenRedQuirkyPrintedFlaredSleevesThreadWorkKurta1.jpg"
41,1035.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17062988/2022/2/5/f864acf1-f5b1-423e-9e43-137b0f588ebf1644056622967KALINIWomenMaroonEmbroideredPleatedKurtawithSharara1.jpg"
42,1036.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15313428/2021/9/6/c6924a16-5b72-44b3-8468-3215a6936a931630912602719-Libas-Women-Kurta-Sets-1921630912601965-1.jpg"
43,1037.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15313428/2021/9/6/c6924a16-5b72-44b3-8468-3215a6936a931630912602719-Libas-Women-Kurta-Sets-1921630912601965-1.jpg"
44,1038.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9222051/2019/5/10/d27f24c3-c15d-41b2-a215-4e77f88925971557486405194-Vaamsi-Women-Kurtas-1941557486403191-1.jpg"
45,1039.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13771278/2022/2/4/e8655bc1-6cf7-4c8b-a206-a8513b146c621643937587740NayoWomenBurgundyPrintedKurtawithPalazzosDupatta1.jpg"
46,104.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10841992/2019/11/7/fe42d7a4-c537-43db-806e-4c65f516a0351573116861901-Libas-Women-Kurta-Sets-9481573116859301-1.jpg"
47,1040.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056142/2019/12/5/2e6e2e66-7a92-43d6-85c7-a91351020b9a1575540765499-AHIKA-Women-Maroon--Beige-Printed-Straight-Kurta-48115755407-1.jpg"
48,1041.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13451930/2021/2/2/30e876e8-3703-4d27-a77a-949cf8aa73361612243834859JeggingsHubberholmeWomenJeggingsHubberholmeWomenJeggingsHubb1.jpg"
49,1042.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14023640/2021/8/26/8d9f11a2-7382-4d77-bae5-9619a7edd9b21629979229716-Libas-Women-Green--Off-White-Pure-Cotton-Ethnic-Motifs-Print-1.jpg"
50,1043.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14951330/2022/2/16/e6b90907-a613-45e1-9b2e-988caaba36581645010770505-Ahalyaa-Women-Beige-Floral-Printed-Regular-Gotta-Patti-Kurta-1.jpg"
51,1044.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/4/8/985725ad-03ec-408a-8e84-33ee0537fb7e1617864632468-1.jpg"
52,1045.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2322979/2018/2/13/11518506064968-Anouk-Women-Peach-Coloured-Printed-Straight-Kurta-6851518506064751-1.jpg"
53,1046.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16524740/2021/12/29/17ab2ac8-2e60-422d-9d20-2527415932361640754214931-STRAPPY-SET-IN-ORANGE-WITH-ORGANZA-DUPATTA-5961640754214349-2.jpg"
54,1047.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15816476/2021/11/13/5d433091-6cdd-4d5b-831e-e3d08c9acdc71636795731219-Fabindia-Women-Kurtas-6861636795730664-1.jpg"
55,1048.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/11/26/e59a03f2-fb5b-44c9-a997-cb5f52bfcf5a1606381676380-1.jpg"
56,1049.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15508936/2021/9/29/d895bc80-716f-47cb-8e1c-c6ce26313ed61632905322263IndoEraPeachPrintedStraightTrouserKurtaWithDupattaSet1.jpg"
57,105.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12133302/2020/7/29/6a8aad57-0ba5-45b1-9344-6aece826a0851596018941125KSUTfuchsiaabstractprintedflaredfulllengthplacketkurtawithro1.jpg"
58,1050.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13791598/2021/3/22/f49df787-d0f6-437b-923b-c867dbff9b081616406585698-Anouk-Women-Kurta-Sets-1331616406583981-7.jpg"
59,1051.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13769676/2021/7/7/aa5a4b0f-2cd4-487c-a66b-b38132b731591625651375372-Varanga-Women-Kurta-Sets-6791625651374822-1.jpg"
60,1052.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14023556/2021/8/27/1ec7b389-ca1a-4db4-9299-121f0080dd8e1630059259645-Libas-Women-Pink--White-Ethnic-Motifs-Print-Cotton-Straight--1.jpg"
61,1053.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13905602/2021/5/27/23a5f980-16d5-499d-9ad2-976e76c7e0781622122426246NauticaMenGreySolidSlimFitChinoShortsShortsNauticaMenShortsN1.jpg"
62,1054.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10235727/2019/7/18/dc8c2ce7-6f31-437c-a17f-93193f1ad99f1563429284408-Varanga-Women-Pink--White-Printed-Straight-Kurta-75515634292-1.jpg"
63,1055.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10356859/2019/8/8/b783aef9-c902-462e-af73-de159bfd011c1565256752191-Libas-Women-Kurta-Sets-2081565256750830-1.jpg"
64,1056.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/5/19/3d4648ec-8534-4333-ba00-71f016a7889c1621410078449-1.jpg"
65,1057.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15561680/2021/9/22/ae87dd98-3d80-449b-bf62-3834797d9a561632315919781DIVYANKWomenNavyBlueEthnicMotifsPrintedRegularMirrorWorkKurt1.jpg"
66,1058.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2477343/2018/2/22/11519301743689-Libas-Women-Green-Woven-Design-Pathani-Kurta-4531519301743438-1.jpg"
